,title,description,timestamp,concat,relevant
0,The Lecturer and Philosopher King: Xi Jinping Behind Closed Doors,"Encounters with other world leaders reveal a side of China’s leader that the public rarely sees, and offer clues to how he will approach President Trump in Beijing.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=13, tm_min=3, tm_sec=22, tm_wday=2, tm_yday=133, tm_isdst=0)","The Lecturer and Philosopher King: Xi Jinping Behind Closed Doors | Encounters with other world leaders reveal a side of China’s leader that the public rarely sees, and offer clues to how he will approach President Trump in Beijing.",-1
1,Britain Has Had 5 Leaders in a Decade. Is It About to Get Another?,The promise of Keir Starmer’s Labour Party in 2024 was renewed stability — but that now appears to be under threat.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=12, tm_min=51, tm_sec=21, tm_wday=2, tm_yday=133, tm_isdst=0)",Britain Has Had 5 Leaders in a Decade. Is It About to Get Another? | The promise of Keir Starmer’s Labour Party in 2024 was renewed stability — but that now appears to be under threat.,-1
2,Gulf Countries Arrest Shiite ‘Traitors’ Amid War With Iran,Dozens of Gulf citizens have been accused of belonging to Iran-linked terrorism cells as the war accelerates a shift toward deeper authoritarianism in the region.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=8, tm_min=55, tm_sec=35, tm_wday=2, tm_yday=133, tm_isdst=0)",Gulf Countries Arrest Shiite ‘Traitors’ Amid War With Iran | Dozens of Gulf citizens have been accused of belonging to Iran-linked terrorism cells as the war accelerates a shift toward deeper authoritarianism in the region.,-1
3,Russia-Ukraine War Shows Cease-Fires Have Lost Meaning Under Trump,"Temporary truces have become a tool of performative diplomacy, an end in themselves rather than a prelude to a lasting settlement, analysts say.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=9, tm_min=3, tm_sec=29, tm_wday=2, tm_yday=133, tm_isdst=0)","Russia-Ukraine War Shows Cease-Fires Have Lost Meaning Under Trump | Temporary truces have become a tool of performative diplomacy, an end in themselves rather than a prelude to a lasting settlement, analysts say.",-1
4,Are These the Bones of the Fourth Musketeer? This Dutch Village Hopes So.,"Wolder, near the Belgian border, is waiting to see if the skeleton it dug up in a church is Count d’Artagnan, from Alexandre Dumas’s tale.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=9, tm_min=1, tm_sec=38, tm_wday=2, tm_yday=133, tm_isdst=0)","Are These the Bones of the Fourth Musketeer? This Dutch Village Hopes So. | Wolder, near the Belgian border, is waiting to see if the skeleton it dug up in a church is Count d’Artagnan, from Alexandre Dumas’s tale.",0
5,Trump Is in China as Iran War Continues With No End in Sight,"Before leaving Washington on Tuesday, the president reiterated threats to decimate Iran if it doesn’t agree to a deal to resolve the conflict.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=15, tm_min=4, tm_sec=52, tm_wday=2, tm_yday=133, tm_isdst=0)","Trump Is in China as Iran War Continues With No End in Sight | Before leaving Washington on Tuesday, the president reiterated threats to decimate Iran if it doesn’t agree to a deal to resolve the conflict.",1
6,How China Sent a Message to Trump on His Arrival,"Beijing welcomed President Trump with a high-ranking vice president, but the choice of a ceremonial leader suggests China is trading symbolism for substance.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=16, tm_min=46, tm_sec=18, tm_wday=2, tm_yday=133, tm_isdst=0)","How China Sent a Message to Trump on His Arrival | Beijing welcomed President Trump with a high-ranking vice president, but the choice of a ceremonial leader suggests China is trading symbolism for substance.",-1
7,"Nigel Farage, Leader of Reform U.K., Faces Investigation for £5 Million Gift","The Conservative Party referred the case against Mr. Farage, the leader of a right-wing populist party in Britain, to a parliamentary watchdog.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=19, tm_min=17, tm_sec=15, tm_wday=2, tm_yday=133, tm_isdst=0)","Nigel Farage, Leader of Reform U.K., Faces Investigation for £5 Million Gift | The Conservative Party referred the case against Mr. Farage, the leader of a right-wing populist party in Britain, to a parliamentary watchdog.",-1
8,A Tech Tycoon’s Prosecution Raises Fears of Authoritarian Overreach,"Nadiem Makarim founded a popular app before joining Indonesia’s government. Now he could face 18 years in prison, targeted in what critics call a dubious anticorruption campaign.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=12, tm_min=20, tm_sec=55, tm_wday=2, tm_yday=133, tm_isdst=0)","A Tech Tycoon’s Prosecution Raises Fears of Authoritarian Overreach | Nadiem Makarim founded a popular app before joining Indonesia’s government. Now he could face 18 years in prison, targeted in what critics call a dubious anticorruption campaign.",1
9,Chaos in Philippines Senate as Duterte Ally Faces Arrest,"The sound of gunshots, apparently from inside the chamber, was broadcast on live television as a senator in the Philippines, who was an ally of the former leader Rodrigo Duterte, faced arrest.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=18, tm_min=28, tm_sec=46, tm_wday=2, tm_yday=133, tm_isdst=0)","Chaos in Philippines Senate as Duterte Ally Faces Arrest | The sound of gunshots, apparently from inside the chamber, was broadcast on live television as a senator in the Philippines, who was an ally of the former leader Rodrigo Duterte, faced arrest.",-1
10,King’s Speech Comes at an Awkward Time for Starmer,"King Charles III read out Keir Starmer’s legislative agenda in the traditional manner, even as the British prime minister’s leadership remained under pressure.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=17, tm_min=26, tm_sec=10, tm_wday=2, tm_yday=133, tm_isdst=0)","King’s Speech Comes at an Awkward Time for Starmer | King Charles III read out Keir Starmer’s legislative agenda in the traditional manner, even as the British prime minister’s leadership remained under pressure.",-1
11,"Catherine, Princess of Wales, to Make First Official Trip Abroad Since Cancer Diagnosis","Catherine is visiting Reggio Emilia, a city celebrated for its approach to early childhood education, a deep interest of hers. It is her first official visit abroad since her cancer diagnosis.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=18, tm_min=20, tm_sec=43, tm_wday=2, tm_yday=133, tm_isdst=0)","Catherine, Princess of Wales, to Make First Official Trip Abroad Since Cancer Diagnosis | Catherine is visiting Reggio Emilia, a city celebrated for its approach to early childhood education, a deep interest of hers. It is her first official visit abroad since her cancer diagnosis.",0
12,"Beware of Drunk Deer, French Police Say, Announcing Season of Inebriation","Some wild animals, eating fermented or rotten fruits, “may exhibit completely unpredictable behavior,” the police warned drivers in Saône-et-Loire, a rural region in central-eastern France.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=18, tm_min=55, tm_sec=17, tm_wday=2, tm_yday=133, tm_isdst=0)","Beware of Drunk Deer, French Police Say, Announcing Season of Inebriation | Some wild animals, eating fermented or rotten fruits, “may exhibit completely unpredictable behavior,” the police warned drivers in Saône-et-Loire, a rural region in central-eastern France.",-1
13,Why A.I. is the Hidden Minefield of Trump’s China Visit,"The leaders of both countries are expected to discuss the risks from artificial intelligence, but neither country is willing to be the first to slow down.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=14, tm_min=16, tm_sec=1, tm_wday=2, tm_yday=133, tm_isdst=0)","Why A.I. is the Hidden Minefield of Trump’s China Visit | The leaders of both countries are expected to discuss the risks from artificial intelligence, but neither country is willing to be the first to slow down.",1
14,What to Watch at Trump and Xi’s U.S.-China Summit,Here’s what to know about the biggest sources of tension in U.S.-China relations before the first summit in Beijing in nine years between the nations’ leaders.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=19, tm_min=1, tm_sec=41, tm_wday=2, tm_yday=133, tm_isdst=0)",What to Watch at Trump and Xi’s U.S.-China Summit | Here’s what to know about the biggest sources of tension in U.S.-China relations before the first summit in Beijing in nine years between the nations’ leaders.,-1
15,"Eric Trump, Who Runs the Family Business, Hops Along on the Plane to China",The president’s middle son is said to be joining his father in a “personal capacity” rather than to make business deals.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=18, tm_min=18, tm_sec=44, tm_wday=2, tm_yday=133, tm_isdst=0)","Eric Trump, Who Runs the Family Business, Hops Along on the Plane to China | The president’s middle son is said to be joining his father in a “personal capacity” rather than to make business deals.",-1
16,"Chinese Firms Plot Secret Arms Sales to Iran, U.S. Officials Say",The effort involves plans to send weapons through other countries in an effort to hide the origins of the shipments.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=18, tm_min=6, tm_sec=5, tm_wday=2, tm_yday=133, tm_isdst=0)","Chinese Firms Plot Secret Arms Sales to Iran, U.S. Officials Say | The effort involves plans to send weapons through other countries in an effort to hide the origins of the shipments.",1
17,"France Bars 1,700 Cruise Passengers From Leaving Ship After Dozens Get Sick",Around 50 people so far have symptoms “consistent with an acute gastrointestinal infection” on the Ambassador Cruise Line ship Ambition.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=16, tm_min=44, tm_sec=56, tm_wday=2, tm_yday=133, tm_isdst=0)","France Bars 1,700 Cruise Passengers From Leaving Ship After Dozens Get Sick | Around 50 people so far have symptoms “consistent with an acute gastrointestinal infection” on the Ambassador Cruise Line ship Ambition.",-1
18,"Trump and Xi: Beneath the Pomp and Niceties, a Geopolitical Rivalry",The relationship between the two leaders is marked just as much by mistrust and confrontation as it is by niceties.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=16, tm_min=53, tm_sec=52, tm_wday=2, tm_yday=133, tm_isdst=0)","Trump and Xi: Beneath the Pomp and Niceties, a Geopolitical Rivalry | The relationship between the two leaders is marked just as much by mistrust and confrontation as it is by niceties.",1
19,"Fuel Prices Drive Sales of E.V.s, Just Not in the U.S.","Electric vehicle sales have soared in Europe and much of the rest of the world, but Americans are still hesitant.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=18, tm_min=29, tm_sec=56, tm_wday=2, tm_yday=133, tm_isdst=0)","Fuel Prices Drive Sales of E.V.s, Just Not in the U.S. | Electric vehicle sales have soared in Europe and much of the rest of the world, but Americans are still hesitant.",-1
20,A Physicist Who Thinks in Poetry from the Cosmic Edge,"In her second pop-science book, theoretical cosmologist Chanda Prescod-Weinstein returns to her celestial and cultural roots.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=14, tm_min=4, tm_sec=1, tm_wday=2, tm_yday=133, tm_isdst=0)","A Physicist Who Thinks in Poetry from the Cosmic Edge | In her second pop-science book, theoretical cosmologist Chanda Prescod-Weinstein returns to her celestial and cultural roots.",0
21,French Hantavirus Patient Is Critically Ill as Outbreak Reaches 11 Cases,"The woman, who was a passenger on the MV Hondius, was breathing with the help of an artificial lung, officials in Paris said.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=19, tm_min=9, tm_sec=0, tm_wday=2, tm_yday=133, tm_isdst=0)","French Hantavirus Patient Is Critically Ill as Outbreak Reaches 11 Cases | The woman, who was a passenger on the MV Hondius, was breathing with the help of an artificial lung, officials in Paris said.",-1
22,"As Starmer Rejects Calls to Resign, Some Make Comparisons to President Biden","In Britain, some argue that Prime Minister Keir Starmer, by rejecting calls to step aside, risks repeating the mistakes of President Joseph R. Biden Jr.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=10, tm_min=1, tm_sec=10, tm_wday=2, tm_yday=133, tm_isdst=0)","As Starmer Rejects Calls to Resign, Some Make Comparisons to President Biden | In Britain, some argue that Prime Minister Keir Starmer, by rejecting calls to step aside, risks repeating the mistakes of President Joseph R. Biden Jr.",0
23,What to Know About the Federal Gas Tax Trump Wants to Suspend,"President Trump said he would like to suspend the 18.4-cent-a-gallon tax, but it’s a move that may save drivers only a few dollars a month.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=9, tm_min=3, tm_sec=51, tm_wday=2, tm_yday=133, tm_isdst=0)","What to Know About the Federal Gas Tax Trump Wants to Suspend | President Trump said he would like to suspend the 18.4-cent-a-gallon tax, but it’s a move that may save drivers only a few dollars a month.",-1
24,Trump Tower Deal in Australia Falls Apart And a Blame Game Begins,The property developer says the war in Iran and Trump’s “unpopularity” contributed to the collapse of a plan for a 91-story building on the Gold Coast.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=18, tm_min=5, tm_sec=40, tm_wday=2, tm_yday=133, tm_isdst=0)",Trump Tower Deal in Australia Falls Apart And a Blame Game Begins | The property developer says the war in Iran and Trump’s “unpopularity” contributed to the collapse of a plan for a 91-story building on the Gold Coast.,1
25,Europe Tries a Trumpian Tactic With Trump: No Apologies,"Stuck with the fallout from America’s war in Iran, European leaders have criticized the president publicly. When he’s been angered, they haven’t backed down.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=12, tm_min=53, tm_sec=29, tm_wday=2, tm_yday=133, tm_isdst=0)","Europe Tries a Trumpian Tactic With Trump: No Apologies | Stuck with the fallout from America’s war in Iran, European leaders have criticized the president publicly. When he’s been angered, they haven’t backed down.",-1
26,Trump’s Shrinking Ambitions on China,The president came into office planning harsher trade moves on China than on the rest of the world. Here’s why he’s had to scale them back.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=14, tm_min=20, tm_sec=3, tm_wday=2, tm_yday=133, tm_isdst=0)",Trump’s Shrinking Ambitions on China | The president came into office planning harsher trade moves on China than on the rest of the world. Here’s why he’s had to scale them back.,1
27,How China Could Wield Its Control of Rare Earths Against Trump,A central question hanging over the summit this week is whether China will agree to extend a temporary postponement of even tougher rare-earth export controls.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=4, tm_min=0, tm_sec=16, tm_wday=2, tm_yday=133, tm_isdst=0)",How China Could Wield Its Control of Rare Earths Against Trump | A central question hanging over the summit this week is whether China will agree to extend a temporary postponement of even tougher rare-earth export controls.,-1
28,U.S. and Mexican Officials Deny C.I.A. Had Lethal Role in Mexico Operation,The denials came after a CNN report claimed the C.I.A. had been involved in the assassination of a cartel member inside Mexico earlier this year.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=17, tm_min=47, tm_sec=33, tm_wday=2, tm_yday=133, tm_isdst=0)",U.S. and Mexican Officials Deny C.I.A. Had Lethal Role in Mexico Operation | The denials came after a CNN report claimed the C.I.A. had been involved in the assassination of a cartel member inside Mexico earlier this year.,-1
29,Dominican Republic Agrees to Take Third-Country Migrants Deported by U.S.,"The agreement, which reverses President Luis Abinader’s previous stance, is part of President Trump’s efforts to find governments willing to accept deportees.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=1, tm_min=54, tm_sec=4, tm_wday=2, tm_yday=133, tm_isdst=0)","Dominican Republic Agrees to Take Third-Country Migrants Deported by U.S. | The agreement, which reverses President Luis Abinader’s previous stance, is part of President Trump’s efforts to find governments willing to accept deportees.",-1
30,Battle Over the Strait of Hormuz Leaves Safe Passage a Gamble,"Vessels are traveling without transmitting critical information meant to keep the waters safe, maritime intelligence experts say.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=0, tm_min=50, tm_sec=39, tm_wday=2, tm_yday=133, tm_isdst=0)","Battle Over the Strait of Hormuz Leaves Safe Passage a Gamble | Vessels are traveling without transmitting critical information meant to keep the waters safe, maritime intelligence experts say.",-1
31,Israeli Report Finds That Sexual Violence by Hamas Was Widespread,"A two-year investigation by a team of researchers in Israel concluded that sexual violence by Hamas and its allies was widespread during and after the Oct. 7, 2023, attack.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=22, tm_min=29, tm_sec=5, tm_wday=1, tm_yday=132, tm_isdst=0)","Israeli Report Finds That Sexual Violence by Hamas Was Widespread | A two-year investigation by a team of researchers in Israel concluded that sexual violence by Hamas and its allies was widespread during and after the Oct. 7, 2023, attack.",-1
32,"Earthquake Shakes Tehran, Where Nerves Are Already Strained by Iran War",Iranian media said a moderate quake had shaken the capital around midnight local time.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=17, tm_min=21, tm_sec=36, tm_wday=2, tm_yday=133, tm_isdst=0)","Earthquake Shakes Tehran, Where Nerves Are Already Strained by Iran War | Iranian media said a moderate quake had shaken the capital around midnight local time.",-1
33,U.S. Intelligence Shows Iran Retains Substantial Missile Capabilities,"Secret new assessments say Iran has operational access to 30 of its 33 missile sites along the Strait of Hormuz, suggesting that its military remains far stronger than President Trump has asserted.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=23, tm_min=1, tm_sec=56, tm_wday=1, tm_yday=132, tm_isdst=0)","U.S. Intelligence Shows Iran Retains Substantial Missile Capabilities | Secret new assessments say Iran has operational access to 30 of its 33 missile sites along the Strait of Hormuz, suggesting that its military remains far stronger than President Trump has asserted.",-1
