category,sentence
geopolitical,"Escalating military tensions at the border"
geopolitical,"Armed conflict breaks out in the region"
geopolitical,"Troops mobilized amid rising hostilities"
geopolitical,"Diplomatic talks collapse as crisis deepens"
geopolitical,"Ceasefire collapses, fighting resumes"
geopolitical,"Sanctions imposed as standoff intensifies"
geopolitical,"Nuclear threat warning issued"
geopolitical,"Coup attempt reported in capital"
geopolitical,"Civil unrest spreads to major cities"
geopolitical,"Government falls amid mass protests"
economic,"Markets in freefall as panic spreads"
economic,"Stock market crashes on recession fears"
economic,"Currency collapses amid capital flight"
economic,"Emergency rate cut fails to calm markets"
economic,"Bank run fears spread to regional lenders"
economic,"Credit markets seize as liquidity dries up"
economic,"Bond yields surge on debt crisis fears"
economic,"Contagion fears grip global markets"
economic,"Flash crash wipes out billions in minutes"
economic,"Investors flee to safe haven assets"
political,"Constitutional crisis deepens as deadlock persists"
political,"President declares state of emergency"
political,"Parliament suspended amid political chaos"
political,"Snap election called as government collapses"
political,"Corruption scandal engulfs senior officials"
political,"Impeachment proceedings launched against leader"
political,"Election result disputed, outcome uncertain"
political,"Shock resignation destabilizes ruling coalition"
political,"Political violence erupts ahead of vote"
political,"Courts challenge government powers in landmark ruling"
supply_energy,"Oil supply disrupted as conflict spreads"
supply_energy,"Energy crisis deepens as winter approaches"
supply_energy,"Supply chain breakdown triggers shortages"
supply_energy,"Pipeline attack halts gas flows to Europe"
supply_energy,"Food prices surge on crop failure fears"
supply_energy,"Shipping lanes blocked amid naval standoff"
supply_energy,"Critical commodity supply at risk"
supply_energy,"OPEC shock cut roils energy markets"
monetary_fiscal,"Inflation shock forces emergency policy response"
monetary_fiscal,"Central bank loses credibility as prices spiral"
monetary_fiscal,"Debt ceiling crisis threatens government default"
monetary_fiscal,"IMF warns of sovereign debt spiral"
monetary_fiscal,"Currency war fears escalate among major economies"
monetary_fiscal,"Fiscal cliff looms as budget talks fail"
monetary_fiscal,"Rating agency downgrades sovereign debt"
monetary_fiscal,"Capital controls imposed to halt currency slide"
natural_health,"Earthquake devastates major economic hub"
natural_health,"Pandemic fears resurface as new variant spreads"
natural_health,"Outbreak declared, borders closed"
natural_health,"Catastrophic flooding disrupts supply chains"
natural_health,"Climate disaster triggers humanitarian emergency"
systemic,"Worst crisis in decades, officials warn"
systemic,"No clear path forward as uncertainty mounts"
systemic,"Situation described as rapidly deteriorating"
systemic,"Officials warn of cascading consequences"
systemic,"Risk of contagion now seen as severe"
systemic,"Unprecedented measures under consideration"
systemic,"Growing fears of a systemic breakdown"
systemic,"Black swan event rattles global confidence"
systemic,"Experts warn this time may be different"
systemic,"Perfect storm of risks converges"
