title,description,timestamp,concat,relevant,score
Trump Is in China as Iran War Continues With No End in Sight,"Before leaving Washington on Tuesday, the president reiterated threats to decimate Iran if it doesn’t agree to a deal to resolve the conflict.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=15, tm_min=4, tm_sec=52, tm_wday=2, tm_yday=133, tm_isdst=0)","Trump Is in China as Iran War Continues With No End in Sight | Before leaving Washington on Tuesday, the president reiterated threats to decimate Iran if it doesn’t agree to a deal to resolve the conflict.",1,0.8948813676834106
A Tech Tycoon’s Prosecution Raises Fears of Authoritarian Overreach,"Nadiem Makarim founded a popular app before joining Indonesia’s government. Now he could face 18 years in prison, targeted in what critics call a dubious anticorruption campaign.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=12, tm_min=20, tm_sec=55, tm_wday=2, tm_yday=133, tm_isdst=0)","A Tech Tycoon’s Prosecution Raises Fears of Authoritarian Overreach | Nadiem Makarim founded a popular app before joining Indonesia’s government. Now he could face 18 years in prison, targeted in what critics call a dubious anticorruption campaign.",1,0.9782084822654724
Why A.I. is the Hidden Minefield of Trump’s China Visit,"The leaders of both countries are expected to discuss the risks from artificial intelligence, but neither country is willing to be the first to slow down.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=14, tm_min=16, tm_sec=1, tm_wday=2, tm_yday=133, tm_isdst=0)","Why A.I. is the Hidden Minefield of Trump’s China Visit | The leaders of both countries are expected to discuss the risks from artificial intelligence, but neither country is willing to be the first to slow down.",1,0.9209319949150085
"Chinese Firms Plot Secret Arms Sales to Iran, U.S. Officials Say",The effort involves plans to send weapons through other countries in an effort to hide the origins of the shipments.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=18, tm_min=6, tm_sec=5, tm_wday=2, tm_yday=133, tm_isdst=0)","Chinese Firms Plot Secret Arms Sales to Iran, U.S. Officials Say | The effort involves plans to send weapons through other countries in an effort to hide the origins of the shipments.",1,0.8875948786735535
"Trump and Xi: Beneath the Pomp and Niceties, a Geopolitical Rivalry",The relationship between the two leaders is marked just as much by mistrust and confrontation as it is by niceties.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=16, tm_min=53, tm_sec=52, tm_wday=2, tm_yday=133, tm_isdst=0)","Trump and Xi: Beneath the Pomp and Niceties, a Geopolitical Rivalry | The relationship between the two leaders is marked just as much by mistrust and confrontation as it is by niceties.",1,0.5730811953544617
Trump Tower Deal in Australia Falls Apart And a Blame Game Begins,The property developer says the war in Iran and Trump’s “unpopularity” contributed to the collapse of a plan for a 91-story building on the Gold Coast.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=18, tm_min=5, tm_sec=40, tm_wday=2, tm_yday=133, tm_isdst=0)",Trump Tower Deal in Australia Falls Apart And a Blame Game Begins | The property developer says the war in Iran and Trump’s “unpopularity” contributed to the collapse of a plan for a 91-story building on the Gold Coast.,1,0.9584600329399109
Trump’s Shrinking Ambitions on China,The president came into office planning harsher trade moves on China than on the rest of the world. Here’s why he’s had to scale them back.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=14, tm_min=20, tm_sec=3, tm_wday=2, tm_yday=133, tm_isdst=0)",Trump’s Shrinking Ambitions on China | The president came into office planning harsher trade moves on China than on the rest of the world. Here’s why he’s had to scale them back.,1,0.6497175693511963
"Drones Are Leading Cause of Civilian Deaths in Sudan War, U.N. Says","The U.N. documented 880 deaths from strikes carried out by Sudan’s military or its paramilitary enemy, the Rapid Support Forces, between January and April.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=20, tm_min=8, tm_sec=20, tm_wday=1, tm_yday=132, tm_isdst=0)","Drones Are Leading Cause of Civilian Deaths in Sudan War, U.N. Says | The U.N. documented 880 deaths from strikes carried out by Sudan’s military or its paramilitary enemy, the Rapid Support Forces, between January and April.",1,0.43020716309547424
The Iran War Is Taking the Color Out of Japan’s Best-Known Snack Bags,"The food giant Calbee said shortages of naphtha, a crude-oil derivative used in inks, were forcing it to switch to black-and-white packaging for its salty products.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=10, tm_min=48, tm_sec=52, tm_wday=1, tm_yday=132, tm_isdst=0)","The Iran War Is Taking the Color Out of Japan’s Best-Known Snack Bags | The food giant Calbee said shortages of naphtha, a crude-oil derivative used in inks, were forcing it to switch to black-and-white packaging for its salty products.",1,0.7346076965332031
China Sought Access to Anthropic’s Newest A.I. The Answer Was No.,The latest artificial intelligence models from Anthropic and OpenAI are extending the United States’ lead over China and intensifying the rivalry between the countries.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=15, tm_min=36, tm_sec=8, tm_wday=1, tm_yday=132, tm_isdst=0)",China Sought Access to Anthropic’s Newest A.I. The Answer Was No. | The latest artificial intelligence models from Anthropic and OpenAI are extending the United States’ lead over China and intensifying the rivalry between the countries.,1,0.6284074187278748
Russia Keeps Attacking U.S. Firms in Ukraine. The White House Is Silent.,"Facilities tied to Coca-Cola, Cargill, Mondelez and others appear to have been deliberately hit. The Trump administration’s muted response has raised concerns.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=10, tm_min=46, tm_sec=19, tm_wday=1, tm_yday=132, tm_isdst=0)","Russia Keeps Attacking U.S. Firms in Ukraine. The White House Is Silent. | Facilities tied to Coca-Cola, Cargill, Mondelez and others appear to have been deliberately hit. The Trump administration’s muted response has raised concerns.",1,0.9493181109428406
Xi Is Poised to Press Trump on Arms Sales to Taiwan During China Summit,Beijing has called Taiwan the “core of China’s core interests.” Xi Jinping is likely to focus on getting President Trump to slow approval of more weapons for the self-governing island.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=6, tm_min=21, tm_sec=56, tm_wday=1, tm_yday=132, tm_isdst=0)",Xi Is Poised to Press Trump on Arms Sales to Taiwan During China Summit | Beijing has called Taiwan the “core of China’s core interests.” Xi Jinping is likely to focus on getting President Trump to slow approval of more weapons for the self-governing island.,1,0.6144807934761047
A Hotel in Venezuela’s Capital Has Become the U.S. Embassy’s De Facto Headquarters,"The J.W. Marriott in Venezuela’s capital is suddenly awash in U.S. diplomats, spies and fortune seekers, showcasing changes in the country.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=9, tm_hour=2, tm_min=25, tm_sec=55, tm_wday=5, tm_yday=129, tm_isdst=0)","A Hotel in Venezuela’s Capital Has Become the U.S. Embassy’s De Facto Headquarters | The J.W. Marriott in Venezuela’s capital is suddenly awash in U.S. diplomats, spies and fortune seekers, showcasing changes in the country.",1,0.9407353401184082
"For Trump, the Iran War Looms Over China Summit",The balance of power between the United States and China had shifted in Beijing’s favor even before the war in Iran began in February.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=16, tm_min=53, tm_sec=28, tm_wday=2, tm_yday=133, tm_isdst=0)","For Trump, the Iran War Looms Over China Summit | The balance of power between the United States and China had shifted in Beijing’s favor even before the war in Iran began in February.",1,0.963711678981781
Here’s How Trump’s Trade War on China Ended Up in a Stalemate,"As President Trump prepares to meet with Xi Jinping, a trade war that once threatened to freeze commerce between the two countries has given way to an uneasy truce.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=7, tm_min=5, tm_sec=22, tm_wday=2, tm_yday=133, tm_isdst=0)","Here’s How Trump’s Trade War on China Ended Up in a Stalemate | As President Trump prepares to meet with Xi Jinping, a trade war that once threatened to freeze commerce between the two countries has given way to an uneasy truce.",1,0.8657073378562927
"At Cannes 2026, Gaza Becomes a Political Flashpoint",The event’s leaders immediately jumped into the debate over whether festival participants should speak out on issues like Israel and Gaza.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=15, tm_min=54, tm_sec=38, tm_wday=2, tm_yday=133, tm_isdst=0)","At Cannes 2026, Gaza Becomes a Political Flashpoint | The event’s leaders immediately jumped into the debate over whether festival participants should speak out on issues like Israel and Gaza.",1,0.9919847249984741
Inflation Jumps as War-Driven Energy Costs Drive Up Prices,"President Trump has declared the cease-fire on “life support,” and investors are taking a cautious approach as the economic effects of the war become more apparent.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=20, tm_min=20, tm_sec=21, tm_wday=1, tm_yday=132, tm_isdst=0)","Inflation Jumps as War-Driven Energy Costs Drive Up Prices | President Trump has declared the cease-fire on “life support,” and investors are taking a cautious approach as the economic effects of the war become more apparent.",1,0.9776924848556519
Trump Says Iran’s Response to Latest U.S. Proposal ‘Totally Unacceptable’,The United States and Iran have been discussing a 30-day extension to their cease-fire and a reopening of the Strait of Hormuz.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=11, tm_hour=0, tm_min=48, tm_sec=30, tm_wday=0, tm_yday=131, tm_isdst=0)",Trump Says Iran’s Response to Latest U.S. Proposal ‘Totally Unacceptable’ | The United States and Iran have been discussing a 30-day extension to their cease-fire and a reopening of the Strait of Hormuz.,1,0.7491790056228638
Mass Layoffs in Iran as Businesses Buckle Under Wartime Pressures,Iran was already struggling economically before 2026 brought widespread instability. A government-imposed internet shutdown has crippled an entire sector.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=10, tm_hour=9, tm_min=1, tm_sec=27, tm_wday=6, tm_yday=130, tm_isdst=0)",Mass Layoffs in Iran as Businesses Buckle Under Wartime Pressures | Iran was already struggling economically before 2026 brought widespread instability. A government-imposed internet shutdown has crippled an entire sector.,1,0.9452984929084778
"Long Overlooked, Caspian Sea Provides Strategic Trade Route for Iran","The landlocked body of water has taken on new significance, with Russia shipping military and commercial goods to bolster Tehran’s ability to withstand the U.S. assault.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=9, tm_hour=9, tm_min=1, tm_sec=26, tm_wday=5, tm_yday=129, tm_isdst=0)","Long Overlooked, Caspian Sea Provides Strategic Trade Route for Iran | The landlocked body of water has taken on new significance, with Russia shipping military and commercial goods to bolster Tehran’s ability to withstand the U.S. assault.",1,0.5443170070648193
Iran Says It Seized Oil Tanker Listed by U.S. as Sanctions Violator,"A maritime tracking company said the move was likely performative, given the Chinese-owned ship has an “established history within the Iranian trade ecosystem.”","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=8, tm_hour=16, tm_min=11, tm_sec=51, tm_wday=4, tm_yday=128, tm_isdst=0)","Iran Says It Seized Oil Tanker Listed by U.S. as Sanctions Violator | A maritime tracking company said the move was likely performative, given the Chinese-owned ship has an “established history within the Iranian trade ecosystem.”",1,0.3988746702671051
U.S. and Iran Trade Strikes as Tensions in Strait of Hormuz Rise,The escalating attacks raise the threat that the cease-fire could break down.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=8, tm_hour=22, tm_min=52, tm_sec=7, tm_wday=4, tm_yday=128, tm_isdst=0)",U.S. and Iran Trade Strikes as Tensions in Strait of Hormuz Rise | The escalating attacks raise the threat that the cease-fire could break down.,1,0.9847524166107178
"Israel Says It Killed a Hezbollah Chief Near Beirut, Testing the Truce","The strike was the first near the Lebanese capital since a cease-fire that has curbed fighting but not halted it. Washington is pushing for a lasting peace, hoping it will ease diplomacy with Iran.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=7, tm_hour=19, tm_min=11, tm_sec=56, tm_wday=3, tm_yday=127, tm_isdst=0)","Israel Says It Killed a Hezbollah Chief Near Beirut, Testing the Truce | The strike was the first near the Lebanese capital since a cease-fire that has curbed fighting but not halted it. Washington is pushing for a lasting peace, hoping it will ease diplomacy with Iran.",1,0.9786310791969299
Shell Reports Nearly $7 Billion Profit After Oil Prices Surged Amid U.S.-Iran War,The oil giant’s earnings in the first three months of the year were more than double the previous quarter’s and follow similarly strong results of European rivals.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=8, tm_hour=13, tm_min=12, tm_sec=34, tm_wday=4, tm_yday=128, tm_isdst=0)",Shell Reports Nearly $7 Billion Profit After Oil Prices Surged Amid U.S.-Iran War | The oil giant’s earnings in the first three months of the year were more than double the previous quarter’s and follow similarly strong results of European rivals.,1,0.5429844856262207
"Musk, Rubio, Hegseth: Who Is Traveling With Trump to China?","President Trump arrived in Beijing, ahead of his meeting with President Xi Jinping of China. Among those accompanying Mr. Trump were top administration officials and business leaders.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=19, tm_min=22, tm_sec=9, tm_wday=2, tm_yday=133, tm_isdst=0)","Musk, Rubio, Hegseth: Who Is Traveling With Trump to China? | President Trump arrived in Beijing, ahead of his meeting with President Xi Jinping of China. Among those accompanying Mr. Trump were top administration officials and business leaders.",1,0.5294762849807739
"With a Friend in Trump, the Tobacco Industry Secures a Lucrative Win","In a dispute over vapes, the president sided with tobacco companies that filled his groups’ coffers over his own F.D.A. commissioner, who resigned in protest.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=14, tm_min=37, tm_sec=31, tm_wday=2, tm_yday=133, tm_isdst=0)","With a Friend in Trump, the Tobacco Industry Secures a Lucrative Win | In a dispute over vapes, the president sided with tobacco companies that filled his groups’ coffers over his own F.D.A. commissioner, who resigned in protest.",1,0.5984295606613159
Corpus Christi Faces Water Crisis as Drought and Industrial Growth Strain Supply,"Rising demand, municipal dysfunction and drought have pushed Corpus Christi to the edge of a water emergency, offering a cautionary tale for the rest of the country.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=9, tm_min=0, tm_sec=18, tm_wday=2, tm_yday=133, tm_isdst=0)","Corpus Christi Faces Water Crisis as Drought and Industrial Growth Strain Supply | Rising demand, municipal dysfunction and drought have pushed Corpus Christi to the edge of a water emergency, offering a cautionary tale for the rest of the country.",1,0.985868513584137
A Start-Up Aiming to Make Geothermal Energy Mainstream Goes Public,"Fervo Energy, which uses drilling techniques from the oil and gas industry to produce power from the earth’s heat, raised $1.9 billion in an initial public offering.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=18, tm_min=24, tm_sec=37, tm_wday=2, tm_yday=133, tm_isdst=0)","A Start-Up Aiming to Make Geothermal Energy Mainstream Goes Public | Fervo Energy, which uses drilling techniques from the oil and gas industry to produce power from the earth’s heat, raised $1.9 billion in an initial public offering.",1,0.376508504152298
Silicon Valley’s A.I. Lobbying Blitz Reaches a Fever Pitch,"OpenAI and Anthropic are opening offices in Washington, hiring lobbyists and spending more than ever to win over federal lawmakers.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=17, tm_min=2, tm_sec=32, tm_wday=2, tm_yday=133, tm_isdst=0)","Silicon Valley’s A.I. Lobbying Blitz Reaches a Fever Pitch | OpenAI and Anthropic are opening offices in Washington, hiring lobbyists and spending more than ever to win over federal lawmakers.",1,0.9831984043121338
An Uncertain World Awaits the Reopening of the Strait of Hormuz,"Fatih Birol of the International Energy Agency, who orchestrated a multinational release of oil reserves, detailed the risks facing the economy now and beyond.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=16, tm_min=55, tm_sec=58, tm_wday=2, tm_yday=133, tm_isdst=0)","An Uncertain World Awaits the Reopening of the Strait of Hormuz | Fatih Birol of the International Energy Agency, who orchestrated a multinational release of oil reserves, detailed the risks facing the economy now and beyond.",1,0.9756001830101013
Why the Bombing of Iran Tied the U.S. More Closely to China,"As the U.S. tries to rebuild its weapons stockpiles drained in the Iran war, it will need access to rare-earth minerals, an industry China dominates.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=16, tm_min=41, tm_sec=21, tm_wday=2, tm_yday=133, tm_isdst=0)","Why the Bombing of Iran Tied the U.S. More Closely to China | As the U.S. tries to rebuild its weapons stockpiles drained in the Iran war, it will need access to rare-earth minerals, an industry China dominates.",1,0.7329265475273132
"Wholesale Prices Jumped in April, in Latest Sign of War’s Economic Ripples","The Producer Price Index rose in April at its fastest pace in four years, government data showed, a day after consumer prices showed inflation was surging.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=18, tm_min=29, tm_sec=38, tm_wday=2, tm_yday=133, tm_isdst=0)","Wholesale Prices Jumped in April, in Latest Sign of War’s Economic Ripples | The Producer Price Index rose in April at its fastest pace in four years, government data showed, a day after consumer prices showed inflation was surging.",1,0.957912266254425
Tariff Refunds Begin to Reach Businesses as Trump Lashes Out at Court,"The government must return about $160 billion, plus interest, collected from duties deemed illegal and potentially more if it loses a related tariff case.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=14, tm_min=28, tm_sec=6, tm_wday=2, tm_yday=133, tm_isdst=0)","Tariff Refunds Begin to Reach Businesses as Trump Lashes Out at Court | The government must return about $160 billion, plus interest, collected from duties deemed illegal and potentially more if it loses a related tariff case.",1,0.9047978520393372
Tired of Hacked Passwords? Help Is on the Way.,"Apps from Apple, Google and others can assist in making your online accounts more secure, even as new ways of logging in continue to take off.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=9, tm_min=2, tm_sec=26, tm_wday=2, tm_yday=133, tm_isdst=0)","Tired of Hacked Passwords? Help Is on the Way. | Apps from Apple, Google and others can assist in making your online accounts more secure, even as new ways of logging in continue to take off.",1,0.42990800738334656
"Tomato Prices Soar as War, Tariffs and Weather Affect a Popular Crop","Tomato prices surged nearly 40 percent in April, the Consumer Price Index showed.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=18, tm_min=52, tm_sec=13, tm_wday=1, tm_yday=132, tm_isdst=0)","Tomato Prices Soar as War, Tariffs and Weather Affect a Popular Crop | Tomato prices surged nearly 40 percent in April, the Consumer Price Index showed.",1,0.9708540439605713
CPI Shows Inflation Accelerating to 3.8% Annually in April After Weeks of War in Iran,The Consumer Price Index rose 3.8% in April from a year earlier as higher energy costs replaced tariffs as the driver of higher prices for Americans.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=14, tm_min=41, tm_sec=48, tm_wday=1, tm_yday=132, tm_isdst=0)",CPI Shows Inflation Accelerating to 3.8% Annually in April After Weeks of War in Iran | The Consumer Price Index rose 3.8% in April from a year earlier as higher energy costs replaced tariffs as the driver of higher prices for Americans.,1,0.5752301216125488
How Much Power Did Microsoft Have Over OpenAI?,The technology giant’s chief executive faced a grilling in court over whether it exerted too much control over what was meant to be an A.I. nonprofit.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=12, tm_hour=14, tm_min=59, tm_sec=24, tm_wday=1, tm_yday=132, tm_isdst=0)",How Much Power Did Microsoft Have Over OpenAI? | The technology giant’s chief executive faced a grilling in court over whether it exerted too much control over what was meant to be an A.I. nonprofit.,1,0.771111786365509
