title,description,timestamp,concat,relevance,score
The Lecturer and Philosopher King: Xi Jinping Behind Closed Doors,"Encounters with other world leaders reveal a side of China’s leader that the public rarely sees, and offer clues to how he will approach President Trump in Beijing.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=13, tm_min=3, tm_sec=22, tm_wday=2, tm_yday=133, tm_isdst=0)","The Lecturer and Philosopher King: Xi Jinping Behind Closed Doors | Encounters with other world leaders reveal a side of China’s leader that the public rarely sees, and offer clues to how he will approach President Trump in Beijing.",-1,0.07672709226608276
Britain Has Had 5 Leaders in a Decade. Is It About to Get Another?,The promise of Keir Starmer’s Labour Party in 2024 was renewed stability — but that now appears to be under threat.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=12, tm_min=51, tm_sec=21, tm_wday=2, tm_yday=133, tm_isdst=0)",Britain Has Had 5 Leaders in a Decade. Is It About to Get Another? | The promise of Keir Starmer’s Labour Party in 2024 was renewed stability — but that now appears to be under threat.,-1,0.9848793745040894
Gulf Countries Arrest Shiite ‘Traitors’ Amid War With Iran,Dozens of Gulf citizens have been accused of belonging to Iran-linked terrorism cells as the war accelerates a shift toward deeper authoritarianism in the region.,"time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=8, tm_min=55, tm_sec=35, tm_wday=2, tm_yday=133, tm_isdst=0)",Gulf Countries Arrest Shiite ‘Traitors’ Amid War With Iran | Dozens of Gulf citizens have been accused of belonging to Iran-linked terrorism cells as the war accelerates a shift toward deeper authoritarianism in the region.,-1,0.9103729724884033
Russia-Ukraine War Shows Cease-Fires Have Lost Meaning Under Trump,"Temporary truces have become a tool of performative diplomacy, an end in themselves rather than a prelude to a lasting settlement, analysts say.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=9, tm_min=3, tm_sec=29, tm_wday=2, tm_yday=133, tm_isdst=0)","Russia-Ukraine War Shows Cease-Fires Have Lost Meaning Under Trump | Temporary truces have become a tool of performative diplomacy, an end in themselves rather than a prelude to a lasting settlement, analysts say.",-1,0.8269884586334229
Are These the Bones of the Fourth Musketeer? This Dutch Village Hopes So.,"Wolder, near the Belgian border, is waiting to see if the skeleton it dug up in a church is Count d’Artagnan, from Alexandre Dumas’s tale.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=9, tm_min=1, tm_sec=38, tm_wday=2, tm_yday=133, tm_isdst=0)","Are These the Bones of the Fourth Musketeer? This Dutch Village Hopes So. | Wolder, near the Belgian border, is waiting to see if the skeleton it dug up in a church is Count d’Artagnan, from Alexandre Dumas’s tale.",0,0.9875636696815491
Trump Is in China as Iran War Continues With No End in Sight,"Before leaving Washington on Tuesday, the president reiterated threats to decimate Iran if it doesn’t agree to a deal to resolve the conflict.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=15, tm_min=4, tm_sec=52, tm_wday=2, tm_yday=133, tm_isdst=0)","Trump Is in China as Iran War Continues With No End in Sight | Before leaving Washington on Tuesday, the president reiterated threats to decimate Iran if it doesn’t agree to a deal to resolve the conflict.",1,0.9782549738883972
How China Sent a Message to Trump on His Arrival,"Beijing welcomed President Trump with a high-ranking vice president, but the choice of a ceremonial leader suggests China is trading symbolism for substance.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=16, tm_min=46, tm_sec=18, tm_wday=2, tm_yday=133, tm_isdst=0)","How China Sent a Message to Trump on His Arrival | Beijing welcomed President Trump with a high-ranking vice president, but the choice of a ceremonial leader suggests China is trading symbolism for substance.",-1,0.8653017282485962
"Nigel Farage, Leader of Reform U.K., Faces Investigation for £5 Million Gift","The Conservative Party referred the case against Mr. Farage, the leader of a right-wing populist party in Britain, to a parliamentary watchdog.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=19, tm_min=17, tm_sec=15, tm_wday=2, tm_yday=133, tm_isdst=0)","Nigel Farage, Leader of Reform U.K., Faces Investigation for £5 Million Gift | The Conservative Party referred the case against Mr. Farage, the leader of a right-wing populist party in Britain, to a parliamentary watchdog.",-1,0.921298086643219
A Tech Tycoon’s Prosecution Raises Fears of Authoritarian Overreach,"Nadiem Makarim founded a popular app before joining Indonesia’s government. Now he could face 18 years in prison, targeted in what critics call a dubious anticorruption campaign.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=12, tm_min=20, tm_sec=55, tm_wday=2, tm_yday=133, tm_isdst=0)","A Tech Tycoon’s Prosecution Raises Fears of Authoritarian Overreach | Nadiem Makarim founded a popular app before joining Indonesia’s government. Now he could face 18 years in prison, targeted in what critics call a dubious anticorruption campaign.",1,0.9993903040885925
Chaos in Philippines Senate as Duterte Ally Faces Arrest,"The sound of gunshots, apparently from inside the chamber, was broadcast on live television as a senator in the Philippines, who was an ally of the former leader Rodrigo Duterte, faced arrest.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=18, tm_min=28, tm_sec=46, tm_wday=2, tm_yday=133, tm_isdst=0)","Chaos in Philippines Senate as Duterte Ally Faces Arrest | The sound of gunshots, apparently from inside the chamber, was broadcast on live television as a senator in the Philippines, who was an ally of the former leader Rodrigo Duterte, faced arrest.",-1,0.997902512550354
King’s Speech Comes at an Awkward Time for Starmer,"King Charles III read out Keir Starmer’s legislative agenda in the traditional manner, even as the British prime minister’s leadership remained under pressure.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=17, tm_min=26, tm_sec=10, tm_wday=2, tm_yday=133, tm_isdst=0)","King’s Speech Comes at an Awkward Time for Starmer | King Charles III read out Keir Starmer’s legislative agenda in the traditional manner, even as the British prime minister’s leadership remained under pressure.",-1,0.9956032037734985
"Catherine, Princess of Wales, to Make First Official Trip Abroad Since Cancer Diagnosis","Catherine is visiting Reggio Emilia, a city celebrated for its approach to early childhood education, a deep interest of hers. It is her first official visit abroad since her cancer diagnosis.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=18, tm_min=20, tm_sec=43, tm_wday=2, tm_yday=133, tm_isdst=0)","Catherine, Princess of Wales, to Make First Official Trip Abroad Since Cancer Diagnosis | Catherine is visiting Reggio Emilia, a city celebrated for its approach to early childhood education, a deep interest of hers. It is her first official visit abroad since her cancer diagnosis.",0,0.6261210441589355
"Beware of Drunk Deer, French Police Say, Announcing Season of Inebriation","Some wild animals, eating fermented or rotten fruits, “may exhibit completely unpredictable behavior,” the police warned drivers in Saône-et-Loire, a rural region in central-eastern France.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=18, tm_min=55, tm_sec=17, tm_wday=2, tm_yday=133, tm_isdst=0)","Beware of Drunk Deer, French Police Say, Announcing Season of Inebriation | Some wild animals, eating fermented or rotten fruits, “may exhibit completely unpredictable behavior,” the police warned drivers in Saône-et-Loire, a rural region in central-eastern France.",-1,0.6862766742706299
Why A.I. is the Hidden Minefield of Trump’s China Visit,"The leaders of both countries are expected to discuss the risks from artificial intelligence, but neither country is willing to be the first to slow down.","time.struct_time(tm_year=2026, tm_mon=5, tm_mday=13, tm_hour=14, tm_min=16, tm_sec=1, tm_wday=2, tm_yday=133, tm_isdst=0)","Why A.I. is the Hidden Minefield of Trump’s China Visit | The leaders of both countries are expected to discuss the risks from artificial intelligence, but neither country is willing to be the first to slow down.",1,0.9636270999908447
